order_id,sys_a_amount_attribute_1,date
83439608,798.998,2024-06-29
79994997,663.998,2024-06-30
21270339,808.999,2024-06-30
81598085,1452.002,2024-06-30
42760405,673.995,2024-06-27
57090007,679.004,2024-06-29
38218485,348.999,2024-06-27
30579145,558.999,2024-06-28
47875267,1278.996,2024-06-29
57671889,449.001,2024-06-28
34069225,900.996,2024-06-30
12251950,1146.005,2024-06-29
67306989,974.001,2024-06-27
32272566,479.0,2024-06-27
93192153,764.001,2024-06-23
66190360,1838.996,2024-06-28
83851389,2293.996,2024-06-27
21105107,558.999,2024-06-27
20321288,599.004,2024-06-30
81511944,674.005,2024-06-28
16052851,798.998,2024-06-27
44439277,949.004,2024-06-27
32508335,645.005,2024-06-28
84292438,298.998,2024-06-30
17564720,718.996,2024-06-27
88876082,438.996,2024-06-29
56254812,1499.002,2024-06-30
54756589,1189.004,2024-06-29
71446038,425.996,2024-06-29
50301006,763.997,2024-06-28
94011998,1059.005,2024-06-29
34600006,419.003,2024-06-28
89924980,2199.001,2024-06-27
54475774,1199.005,2024-06-29
40918696,559.0,2024-06-30
98922352,598.999,2024-06-26
66215084,739.998,2024-06-25
54404264,1049.003,2024-06-30
36743921,1278.996,2024-06-30
74608998,298.998,2024-06-29
41228840,593.996,2024-06-25
53086711,418.992,2024-06-30
60214975,519.005,2024-06-29
24080628,593.996,2024-06-30
72161342,358.995,2024-06-27
65269527,558.999,2024-06-28
63143683,530.996,2024-06-29
52069908,899.002,2024-06-29
18671596,1619.005,2024-06-24
38724010,629.003,2024-06-26
64873389,419.003,2024-06-28
49752578,778.995,2024-06-30
10028633,1149.002,2024-06-24
26742461,798.998,2024-06-29
65566798,209.003,2024-06-28
52837491,599.004,2024-06-29
47588976,718.998,2024-06-30
95197458,348.999,2024-06-28
93717836,449.001,2024-06-29
36007057,759.003,2024-06-29
72249431,599.004,2024-06-27
88571849,331.002,2024-06-30
98553081,798.998,2024-06-29
75491464,348.999,2024-06-28
60890301,449.001,2024-06-30
71282508,1498.997,2024-06-30
89053384,1558.996,2024-06-30
46270821,298.998,2024-06-29
